"id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"56","3rd & D St SE","31605","1518380908424","38.8851","-77.0023","true","false","0","false","true","3","8","1518380549469"
"57","Potomac & Pennsylvania Ave SE","31606","1518380832042","38.8803","-76.9862","true","false","0","false","true","7","8","1518379902292"
"58","14th & D St SE","31607","1518380834575","38.884","-76.9861","true","false","0","false","true","5","10","1518378241003"
"59","17th & Corcoran St NW","31214","1518380817299","38.9121","-77.0387","true","false","0","false","true","12","7","1518380737816"
"60","Van Ness Metro / UDC","31300","1518380832820","38.944551","-77.063896","true","false","0","false","true","10","5","1518379400737"
"61","Florida Ave & R St NW","31503","1518380826329","38.9126","-77.0135","true","false","0","false","true","5","10","1518380467400"
"62","8th & Eye St SE / Barracks Row","31608","1518380845946","38.8792","-76.9953","true","false","0","false","true","2","9","1518373295219"
"63","Ward Circle / American University","31301","1518380827065","38.938736","-77.087171","true","false","0","false","true","3","12","1518380586645"
"64","Wisconsin Ave & Newark St NW","31302","1518380885182","38.934881","-77.072755","true","false","0","false","true","7","12","1518378357424"
"65","14th St Heights / 14th & Crittenden St NW","31402","1518380916245","38.947774","-77.032818","true","false","0","false","true","5","5","1518378641403"
"66","Anacostia Library","31804","1518380891468","38.865784","-76.9784","true","false","0","false","true","9","2","1518358092299"
"67","Pennsylvania & Minnesota Ave SE","31805","1518380813048","38.873057","-76.971015","true","false","0","false","true","9","2","1518376019390"
"68","Eastern Market / 7th & North Carolina Ave SE","31610","1518380875544","38.886952","-76.996806","true","false","0","false","true","6","9","1518380755492"
"69","14th St & New York Ave NW","31216","1518380816857","38.899632","-77.031686","true","false","0","false","true","7","16","1518373590264"
"70","Benning Branch Library","31705","1518380893944","38.894","-76.947974","true","false","0","false","true","8","3","1518360626895"
"71","USDA / 12th & Independence Ave SW","31217","1518380881302","38.887237","-77.028226","true","false","0","false","true","8","31","1518375434787"
"72","Georgetown Harbor / 30th St NW","31215","1518380805444","38.9022212","-77.059219","true","false","0","false","true","8","11","1518377365290"
"73","12th & Newton St NE","31501","1518380846435","38.933668","-76.991016","true","false","0","false","true","5","6","1518320981905"
"74","US Dept of State / Virginia Ave & 21st St NW","31220","1518380920509","38.894919","-77.046587","true","false","0","false","true","4","11","1518380552293"
"75","L'Enfant Plaza / 7th & C St SW","31218","1518380825185","38.886266","-77.022241","true","false","0","false","true","6","9","1518379743474"
"76","10th St & Constitution Ave NW","31219","1518380820967","38.893028","-77.026013","true","false","0","false","true","16","15","1518376909821"
"77","Kennedy Center","31211","1518380854142","38.897293","-77.05557","true","false","0","false","true","9","9","1518380732557"
"78","Eastern Market Metro / Pennsylvania Ave & 7th St SE","31613","1518380809042","38.884","-76.995397","true","false","0","false","true","14","5","1518380689331"
"79","18th & M St NW","31221","1518380900155","38.90506687455313","-77.04177886247635","true","false","0","false","true","15","12","1518380661168"
"80","Tenleytown / Wisconsin Ave & Albemarle St NW","31303","1518380900547","38.947607","-77.079382","true","false","0","false","true","6","9","1518379080008"
"81","13th & H St NE","31611","1518380827778","38.900021783466954","-76.98842167854308","true","false","0","false","true","23","4","1518377773434"
"82","5th & F St NW","31620","1518380915882","38.897222","-77.019347","true","false","0","false","true","14","17","1518379960567"
"83","New York Ave & 15th St NW","31222","1518380905495","38.8991","-77.0337","true","false","0","false","true","10","9","1518380545395"
"84","Convention Center / 7th & M St NW","31223","1518380843466","38.905737","-77.02227","true","false","0","false","true","15","7","1518380287881"
"85","Harvard St & Adams Mill Rd NW","31112","1518380871345","38.927872","-77.043358","true","false","0","false","true","14","1","1518378629463"
"86","19th & L St NW","31224","1518380890537","38.903407","-77.043648","true","false","0","false","true","7","8","1518379613644"
"87","C & O Canal & Wisconsin Ave NW","31225","1518380861572","38.90375","-77.06269","true","false","0","false","true","8","15","1518377097610"
"88","Maine Ave & 7th St SW","31609","1518380867072","38.878693599396954","-77.02305436134338","true","false","0","false","true","11","8","1518379314501"
"89","D St & Maryland Ave NE","31612","1518380923260","38.894758","-76.997114","true","false","0","false","true","10","13","1518380802503"
"90","34th St & Wisconsin Ave NW","31226","1518380819836","38.916442","-77.0682","true","false","0","false","true","7","4","1518377279864"
"91","13th St & New York Ave NW","31227","1518380882838","38.900283","-77.029822","true","false","0","false","true","6","17","1518379807408"
"92","8th & H St NW","31228","1518380847055","38.8997","-77.023086","true","false","0","false","true","21","11","1518380843942"
"93","10th & Monroe St NE","31504","1518380844744","38.932514","-76.992889","true","false","0","false","true","5","6","1518342385913"
"94","Eckington Pl & Q St NE","31505","1518380866604","38.910972","-77.00495","true","false","0","false","true","11","12","1518380041718"
"95","6th & H St NE","31615","1518380910666","38.899972","-76.998347","true","false","0","false","true","21","2","1518380312713"
"96","3rd & H St NE","31616","1518380889776","38.900412","-77.001949","true","false","0","false","true","8","11","1518380530350"
"97","Bladensburg Rd & Benning Rd NE","31617","1518380842047","38.900413","-76.982872","true","false","0","false","true","3","12","1518379526743"
"98","4th & East Capitol St NE","31618","1518380855021","38.889955","-77.000349","true","false","0","false","true","2","9","1518379780679"
"99","Lincoln Park / 13th & East Capitol St NE ","31619","1518380844387","38.890461","-76.988355","true","false","0","false","true","11","13","1518380364405"
"100","Branch & Pennsylvania Ave SE","31701","1518380836663","38.8692","-76.9599","true","false","0","false","true","5","5","1518339985530"
"101","13th & D St NE","31622","1518380848964","38.894832","-76.987633","true","false","0","false","true","21","8","1518379869501"
"102","New Hampshire Ave & T St NW","31229","1518380879946","38.91554","-77.03818","true","false","0","false","true","4","19","1518380640183"
"103","Metro Center / 12th & G St NW","31230","1518380874184","38.898364","-77.027869","true","false","0","false","true","23","16","1518380753151"
"104","14th & D St NW / Ronald Reagan Building","31231","1518380813276","38.894514","-77.031617","true","false","0","false","true","11","14","1518379410577"
"105","7th & F St NW / National Portrait Gallery","31232","1518380820023","38.89729557348138","-77.02220141887663","true","false","0","false","true","16","11","1518380267670"
"106","17th & K St NW / Farragut Square","31233","1518380896819","38.902061","-77.038322","true","false","0","false","true","11","24","1518377171568"
"107","20th & O St NW / Dupont South","31234","1518380891129","38.908905","-77.04478","true","false","0","false","true","8","10","1518380057684"
